Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2024;T4;Barajas;Tasa de variación sobre el periodo anterior;8.4;Porcentaje;
2024;T4;Barajas;Tasa de variación sobre igual período del año anterior;10.0;Porcentaje;
2024;T4;Carabanchel;Serie;122.054;Índice;
2024;T4;Carabanchel;Tasa de variación sobre el periodo anterior;3.2;Porcentaje;
2024;T4;Carabanchel;Tasa de variación sobre igual período del año anterior;12.7;Porcentaje;
2024;T4;Centro;Serie;115.099;Índice;
2024;T4;Centro;Tasa de variación sobre el periodo anterior;3.9;Porcentaje;
2024;T4;Centro;Tasa de variación sobre igual período del año anterior;10.6;Porcentaje;
2024;T4;Chamartín;Serie;121.956;Índice;
2024;T4;Chamartín;Tasa de variación sobre el periodo anterior;-1.7;Porcentaje;
2024;T4;Chamartín;Tasa de variación sobre igual período del año anterior;16.4;Porcentaje;
2024;T4;Chamberí;Serie;121.095;Índice;
2024;T4;Chamberí;Tasa de variación sobre igual período del año anterior;12.0;Porcentaje;
2024;T4;Ciudad Lineal;Serie;120.045;Índice;
2024;T4;Ciudad Lineal;Tasa de variación sobre el periodo anterior;2.7;Porcentaje;
2024;T4;Ciudad Lineal;Tasa de variación sobre igual período del año anterior;14.2;Porcentaje;
2024;T4;Fuencarral-El Pardo;Serie;114.976;Índice;
2024;T4;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;3.5;Porcentaje;
2024;T4;Fuencarral-El Pardo;Tasa de variación sobre igual período del año anterior;12.8;Porcentaje;
2024;T4;Hortaleza;Serie;115.662;Índice;
2024;T4;Hortaleza;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T4;Hortaleza;Tasa de variación sobre igual período del año anterior;11.3;Porcentaje;
2024;T4;Latina;Serie;124.648;Índice;
2024;T4;Latina;Tasa de variación sobre el periodo anterior;6.2;Porcentaje;
2024;T4;Latina;Tasa de variación sobre igual período del año anterior;18.6;Porcentaje;
2024;T4;Moncloa-Aravaca;Serie;117.871;Índice;
2024;T4;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;4.2;Porcentaje;
2024;T4;Moncloa-Aravaca;Tasa de variación sobre igual período del año anterior;8.9;Porcentaje;
2024;T4;Moratalaz;Serie;118.024;Índice;
2024;T4;Moratalaz;Tasa de variación sobre el periodo anterior;1.3;Porcentaje;
