P. Turismo y eventos  "Fuente: Registro de Establecimientos Turísticos Comunidad de Madrid
Turismo
Infraestructura hotelera
"1.2.3. Oferta de apartamentos turísticos y hotel-apartamentos en la ciudad de Madrid por Categoría, Tipo de establecimiento y Distrito"
;;;Total;Total;1 estrella / llave;1 estrella / llave;2 estrellas / llaves;2 estrellas / llaves;3 estrellas / llaves;3 estrellas / llaves;4 estrellas / llaves;4 estrellas / llaves;Sin categoría;Sin categoría
;;;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas
2021;Apartamento turístico;04. Salamanca;9;943;1;86;0;0;4;484;4;373;0;0
2021;Apartamento turístico;05. Chamartín;7;1.061;0;0;0;0;1;85;6;976;0;0
2021;Apartamento turístico;06. Tetuán;5;327;0;0;1;24;0;0;4;303;0;0
2021;Apartamento turístico;07. Chamberí;5;380;1;58;1;10;3;312;0;0;0;0
2021;Apartamento turístico;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2021;Apartamento turístico;09. Moncloa-Aravaca;12;1.095;0;0;2;25;1;120;9;950;0;0
2021;Apartamento turístico;10. Latina;1;52;0;0;1;52;0;0;0;0;0;0
2021;Apartamento turístico;11. Carabanchel;3;80;0;0;1;12;0;0;2;68;0;0
2021;Apartamento turístico;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2021;Apartamento turístico;13. Puente de Vallecas;3;798;0;0;1;26;0;0;2;772;0;0
2021;Apartamento turístico;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2021;Apartamento turístico;15. Ciudad Lineal;2;55;0;0;0;0;1;8;1;47;0;0
2021;Apartamento turístico;16. Hortaleza;1;10;0;0;0;0;0;0;1;10;0;0
2021;Apartamento turístico;17. Villaverde;1;1;0;0;0;0;1;1;0;0;0;0
2021;Apartamento turístico;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2021;Apartamento turístico;19. Vicálvaro;0;0;0;0;0;0;0;0;0;0;0;0
2021;Apartamento turístico;20. San Blas-Canillejas;12;3.078;1;88;5;311;1;549;5;2.130;0;0
2021;Apartamento turístico;21. Barajas;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;Ciudad de Madrid;12;1.549;3;337;3;394;5;762;1;56;0;0
2021;Hotel-apartamento;01. Centro;4;536;1;92;1;66;2;378;0;0;0;0
2021;Hotel-apartamento;02. Arganzuela;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;03. Retiro;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;04. Salamanca;2;102;0;0;0;0;1;46;1;56;0;0
2021;Hotel-apartamento;05. Chamartín;2;181;1;95;0;0;1;86;0;0;0;0
2021;Hotel-apartamento;06. Tetuán;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;07. Chamberí;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2021;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
